model,precision,recall,f1-score
rbf,0.7095343680709535,0.46176046176046176,0.5594405594405595
poly,0.2335614764116353,0.9191919191919192,0.37247831595361075
linear,0.12870707596253902,0.9518999518999519,0.2267545116012604
