Threshold,TP,FP,TN,FN,Recall,Precision,F1-Score,Sn,FPR,Acc
0.0,2079,149255,0,0,1.0,0.01373782494350245,0.02710330936752426,0.0,1.0,0.01373782494350245
0.05,2021,14140,135115,58,0.9721019721019721,0.12505414268919002,0.22160087719298247,0.9052628052661552,0.09473719473384479,0.9061810300395152
0.1,1963,9101,140154,116,0.9442039442039442,0.17742227042660882,0.2987141444114738,0.9390238182975444,0.060976181702455556,0.9390949819604318
0.15000000000000002,1925,7619,141636,154,0.9259259259259259,0.20169740150880133,0.3312397831885056,0.9489531338983619,0.05104686610163811,0.9486367901462989
0.2,1882,6705,142550,197,0.9052429052429053,0.21916851053918715,0.35289705606600413,0.9550768818465043,0.0449231181534957,0.9543922713996854
0.25,1865,6435,142820,214,0.897065897065897,0.2246987951807229,0.3593795163310531,0.956885866470135,0.04311413352986504,0.9560640702023339
0.30000000000000004,1841,6057,143198,238,0.8855218855218855,0.23309698657888073,0.3690488122682169,0.9594184449432179,0.04058155505678207,0.9584032669459606
0.35000000000000003,1822,5735,143520,257,0.8763828763828764,0.24110096599179567,0.37816521378165213,0.9615758266054738,0.038424173394526195,0.9604054607688953
0.4,1801,5455,143800,278,0.8662818662818663,0.24820837927232636,0.3858596679164435,0.9634518106596094,0.03654818934039061,0.9621169069739781
0.45,1790,5209,144046,289,0.860990860990861,0.25575082154593515,0.3943599911874862,0.9650999966500284,0.034900003349971565,0.9636697635693234
0.5,1779,4892,144363,300,0.8556998556998557,0.2666766601708889,0.40662857142857145,0.967223878597032,0.03277612140296804,0.9656917810934753
0.55,1756,4765,144490,323,0.8446368446368446,0.2692838521699126,0.4083720930232558,0.9680747713644434,0.03192522863555658,0.9663790027356708
0.6000000000000001,1735,4557,144698,344,0.8345358345358346,0.27574698029243483,0.41452634093895585,0.9694683595189441,0.030531640481055944,0.9676146801115414
0.65,1712,4419,144836,367,0.8234728234728235,0.2792366661229816,0.4170523751522533,0.9703929516599109,0.029607048340089093,0.9683745886581997
0.7000000000000001,1693,4207,145048,386,0.8143338143338144,0.28694915254237285,0.42436395538288,0.9718133395866135,0.028186660413386466,0.9696499134365046
0.75,1655,3774,145481,424,0.796055796055796,0.3048443543930742,0.4408630793819925,0.9747144149274731,0.025285585072526873,0.9722600340967661
0.8,1624,3562,145693,455,0.7811447811447811,0.31315079059005013,0.4470750172057812,0.9761348028541758,0.023865197145824246,0.9734560640702024
0.8500000000000001,1581,3320,145935,498,0.7604617604617605,0.32258722709651094,0.45300859598853876,0.9777561890723929,0.022243810927607077,0.9747710362509416
0.9,1517,3037,146218,562,0.7296777296777297,0.33311374615722444,0.4574099200964873,0.9796522729556799,0.020347727044320085,0.9762181664397954
0.9500000000000001,16,8,149247,2063,0.007696007696007696,0.6666666666666666,0.015216357584403236,0.9999464004555961,5.35995444038706e-05,0.9863150382597433
1.0,0,0,149255,2079,0.0,,,1.0,0.0,0.9862621750564976
1.05,0,0,149255,2079,0.0,,,1.0,0.0,0.9862621750564976
