,precision,recall,f1-score,support
pseudo donor,0.9994029627971193,0.8972228736055744,0.9455604589585173,149255.0
real donor,0.11528923236634177,0.9615199615199616,0.20589144093109485,2079.0
accuracy,0.8981061757437192,0.8981061757437192,0.8981061757437192,0.8981061757437192
macro avg,0.5573460975817305,0.929371417562768,0.5757259499448061,151334.0
weighted avg,0.9872571631383144,0.8981061757437192,0.9353990154727242,151334.0
