Threshold,TP,FP,TN,FN,Recall,Precision,F1-Score,Sn,FPR,Acc
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,142390,6736,0,1.0,0.014390630515889222,0.02837295630100718,0.04516985636307552,0.9548301436369244,0.05829833669521511
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,141928,7198,0,1.0,0.014436798211198067,0.028462686362827373,0.0482679076753886,0.9517320923246114,0.06135379121060811
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,141338,7788,0,1.0,0.014496189433609684,0.028578105240006597,0.05222429355042045,0.9477757064495795,0.0652557785787507
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,140737,8389,0,1.0,0.014557192471431772,0.02869664239621795,0.05625444255193595,0.9437455574480641,0.06923051486392645
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,139962,9164,0,1.0,0.014636619004371977,0.028850957535387176,0.06145139009964728,0.9385486099003527,0.07435600674580867
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,139267,9859,0,1.0,0.0147085874379183,0.028990761722154437,0.06611187854565938,0.9338881214543406,0.0789524155947224
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,137902,11224,0,1.0,0.014852015630692737,0.02926932282134309,0.07526521196840257,0.9247347880315975,0.08797989484474719
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,137182,11944,0,1.0,0.014928802751667731,0.029418423659261356,0.08009334388369567,0.9199066561163043,0.09274164214146358
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,136248,12878,0,1.0,0.01502960376499165,0.029614119054741248,0.08635650389603422,0.9136434961039658,0.09891868655137065
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,135010,14116,0,1.0,0.015165330551685402,0.02987755805932398,0.09465820849482988,0.9053417915051701,0.10710624648655799
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,134157,14969,0,1.0,0.015260283625473443,0.0300618154213209,0.10037820366669796,0.8996217963333021,0.11274759432558447
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,132883,16243,0,1.0,0.015404336035328463,0.030341284725009306,0.10892131486125826,0.8910786851387418,0.12117324162560762
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,131874,17252,0,1.0,0.015520369084678954,0.030566337332392376,0.11568740528143985,0.8843125947185602,0.12784630137892267
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2079,130796,18330,0,1.0,0.015646284101599246,0.030810498392044697,0.12291619167683704,0.8770838083231629,0.13497569524817302
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2078,130012,19114,1,0.9995189995189995,0.01573169808463926,0.030975858804940033,0.12817349087348953,0.8718265091265105,0.14015409543335208
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.07it/s]",2078,128866,20260,1,0.9995189995189995,0.01586937927663734,0.03124271742480624,0.13585826750533106,0.864141732494669,0.14773320988062563
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,128022,21104,1,0.9995189995189995,0.015972328977709456,0.03144221094122365,0.14151791102825798,0.858482088971742,0.15331503587844317
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,127078,22048,1,0.9995189995189995,0.016089070581312523,0.03166838114832171,0.14784812842830894,0.852151871571691,0.1595582156674713
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,126189,22937,1,0.9995189995189995,0.01620058159932017,0.03188436929403281,0.15380953019594168,0.8461904698040583,0.1654376508713336
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,125129,23997,1,0.9995189995189995,0.016335579016878002,0.03214578531318163,0.16091761329345655,0.8390823867065434,0.17244800105816607
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,124224,24902,1,0.9995189995189995,0.01645262941204415,0.03237239155326723,0.16698630688142913,0.8330136931185709,0.17843325286862208
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,123459,25667,1,0.9995189995189995,0.016552888789759194,0.03256644934804413,0.17211619704142805,0.827883802958572,0.18349260937138323
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,122428,26698,1,0.9995189995189995,0.016689958716848988,0.032831694118576456,0.17902981371457694,0.8209701862854231,0.1903111669587646
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,121549,27577,1,0.9995189995189995,0.01680862594740631,0.033061269947337435,0.18492415809449728,0.8150758419055028,0.19612446678350584
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,120719,28407,1,0.9995189995189995,0.01692223751394578,0.03328101476664851,0.19048992127462683,0.8095100787253732,0.2016137032505539
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,119873,29253,1,0.9995189995189995,0.01703963067133521,0.03350802225268081,0.19616297627509624,0.8038370237249037,0.20720875632419564
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,118913,30213,1,0.9995189995189995,0.01717483118579068,0.03376939952872349,0.20260048549548704,0.797399514504513,0.21355775271981747
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,117912,31214,1,0.9995189995189995,0.017318109842486874,0.03404631806601184,0.2093129300054987,0.7906870699945013,0.22017790416983565
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,116861,32265,1,0.9995189995189995,0.017471140668746166,0.03434199871093556,0.2163606614540724,0.7836393385459276,0.22712873251545915
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,115809,33317,1,0.9995189995189995,0.017627049632274974,0.03464314889218612,0.22341509864141731,0.7765849013585827,0.23408617439899473
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,114803,34323,1,0.9995189995189995,0.017778766437658817,0.03493611297915266,0.2301610718452852,0.7698389281547148,0.24073939353857346
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,113911,35215,1,0.9995189995189995,0.017915491986309047,0.03520005420605075,0.23614259082923167,0.7638574091707684,0.2466386693561721
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,112586,36540,1,0.9995189995189995,0.018122514477080864,0.03559956485613699,0.24502769470112523,0.7549723052988748,0.25540160708971266
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,111484,37642,1,0.9995189995189995,0.018298374456244167,0.03593881062944804,0.25241741882703217,0.7475825811729678,0.26268972586885353
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,110418,38708,1,0.9995189995189995,0.01847176788508036,0.03627318350425486,0.25956573635717445,0.7404342636428256,0.26973975728315863
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,109594,39532,1,0.9995189995189995,0.018608066480406905,0.03653594254116447,0.26509126510467657,0.7349087348953234,0.27518931252273404
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,108494,40632,1,0.9995189995189995,0.01879318453134609,0.03689270401505535,0.27246757775304103,0.727532422246959,0.28246420422605073
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,107620,41506,1,0.9995189995189995,0.01894291600576127,0.03718117322883956,0.2783283934391052,0.7216716065608948,0.2882444363612314
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,106516,42610,1,0.9995189995189995,0.01913549551540601,0.037552067803348604,0.2857315290425546,0.7142684709574454,0.29554578221619654
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,105243,43883,1,0.9995189995189995,0.01936247332768051,0.037989031078610604,0.2942679344983437,0.7057320655016563,0.3039648159783076
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,104199,44927,1,0.9995189995189995,0.019552678378200364,0.038355051866071105,0.30126872577551866,0.6987312742244813,0.31086934955854634
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,102882,46244,1,0.9995189995189995,0.019798018292682927,0.03882696960920786,0.31010018373724235,0.6898998162627576,0.3195793789887901
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,101738,47388,1,0.9995189995189995,0.02001618247668953,0.03924642334387837,0.31777154889154136,0.6822284511084586,0.3271452663602394
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:32<00:00,  6.06it/s]",2078,100528,48598,1,0.9995189995189995,0.02025222696528468,0.039700052538568086,0.32588549280474227,0.6741145071952577,0.3351476472338878
