Threshold,TP,FP,TN,FN,Recall,Precision,F1-Score,Sn,FPR,Acc
-9.0,2079,149206,0,0,1.0,0.013742274514988268,0.027111968910565717,0.0,1.0,0.013742274514988268
-8.9,2079,149206,0,0,1.0,0.013742274514988268,0.027111968910565717,0.0,1.0,0.013742274514988268
-8.8,2079,149206,0,0,1.0,0.013742274514988268,0.027111968910565717,0.0,1.0,0.013742274514988268
-8.700000000000001,2079,149206,0,0,1.0,0.013742274514988268,0.027111968910565717,0.0,1.0,0.013742274514988268
-8.600000000000001,2079,149206,0,0,1.0,0.013742274514988268,0.027111968910565717,0.0,1.0,0.013742274514988268
-8.500000000000002,2079,149206,0,0,1.0,0.013742274514988268,0.027111968910565717,0.0,1.0,0.013742274514988268
-8.400000000000002,2079,149206,0,0,1.0,0.013742274514988268,0.027111968910565717,0.0,1.0,0.013742274514988268
-8.300000000000002,2079,149206,0,0,1.0,0.013742274514988268,0.027111968910565717,0.0,1.0,0.013742274514988268
-8.200000000000003,2079,149206,0,0,1.0,0.013742274514988268,0.027111968910565717,0.0,1.0,0.013742274514988268
-8.100000000000003,2079,149206,0,0,1.0,0.013742274514988268,0.027111968910565717,0.0,1.0,0.013742274514988268
-8.000000000000004,2079,149198,8,0,1.0,0.01374300124936375,0.02711338323899945,5.361714676353498e-05,0.9999463828532364,0.013795154840202268
-7.900000000000004,2079,149187,19,0,1.0,0.013744000634643608,0.027115328181551403,0.00012734072356339557,0.9998726592764366,0.013867865287371517
-7.800000000000004,2079,149147,59,0,1.0,0.013747635988520492,0.027122403052738005,0.00039542645738107045,0.9996045735426189,0.014132266913441518
-7.700000000000005,2079,149057,149,0,1.0,0.013755822570400169,0.02713833501941716,0.000998619358470839,0.9990013806415292,0.014727170572099019
-7.600000000000005,2079,149009,197,0,1.0,0.013760192735359526,0.02714683972396143,0.0013203222390520488,0.9986796777609479,0.015044452523383019
-7.500000000000005,2079,148940,266,0,1.0,0.013766479714473014,0.02715907457968099,0.001782770129887538,0.9982172298701124,0.015500545328353769
-7.400000000000006,2079,148745,461,0,1.0,0.01378427836418607,0.027193711045564832,0.0030896880822487032,0.9969103119177513,0.01678950325544502
-7.300000000000006,2079,148414,792,0,1.0,0.013814596027722219,0.027252706918700676,0.0053080975295899625,0.9946919024704101,0.018977426711174274
-7.200000000000006,2079,147951,1255,0,1.0,0.013857228554289142,0.02733566061179812,0.00841118989852955,0.9915888101014705,0.02203787553293453
-7.100000000000007,2079,147501,1705,0,1.0,0.013898916967509025,0.027416770518070146,0.011427154403978393,0.9885728455960217,0.025012393826222033
-7.000000000000007,2079,146813,2393,0,1.0,0.013963141068694087,0.027541713309178584,0.0160382290256424,0.9839617709743576,0.029560101794626037
-6.9000000000000075,2079,146194,3012,0,1.0,0.014021433436970992,0.02765510269234862,0.02018685575647092,0.979813144243529,0.03365171695805929
-6.800000000000008,2079,145469,3737,0,1.0,0.014090329926532382,0.02778910223422243,0.02504590968191628,0.9749540903180838,0.03844399643057805
-6.700000000000008,2079,144723,4483,0,1.0,0.014161932398741162,0.02792834545711004,0.030045708617615914,0.9699542913823841,0.04337508675678355
-6.6000000000000085,2079,143763,5443,0,1.0,0.014255152836631422,0.028109599042732265,0.03647976622924011,0.9635202337707599,0.04972072578246356
-6.500000000000009,2079,142779,6427,0,1.0,0.014351986082922586,0.02829784193225668,0.04307467528115491,0.9569253247188451,0.05622500578378557
-6.400000000000009,2079,141754,7452,0,1.0,0.014454262929925677,0.028496628104611,0.04994437221023283,0.9500556277897672,0.06300029745182933
-6.30000000000001,2079,140581,8625,0,1.0,0.014573110893032384,0.028727571698021953,0.05780598635443615,0.9421940136455639,0.07075387513633209
-6.20000000000001,2079,139313,9893,0,1.0,0.014703802195315151,0.028981466637857126,0.06630430411645644,0.9336956958835436,0.0791354066827511
-6.10000000000001,2079,137927,11279,0,1.0,0.014849363598702913,0.029264172854277373,0.07559347479323887,0.9244065252067611,0.08829692302607661
-6.000000000000011,2079,136396,12810,0,1.0,0.015013540350243727,0.029582936095735445,0.08585445625511039,0.9141455437448897,0.09841689526390587
-5.900000000000011,2079,134671,14535,0,1.0,0.015202925045703839,0.029950514661922223,0.09741565352599761,0.9025843464740024,0.10981921538817464
-5.800000000000011,2078,133057,16149,1,0.9995189995189995,0.015377215377215377,0.030288454530878774,0.1082329128855408,0.8917670871144592,0.1204812109594474
-5.700000000000012,2078,131131,18075,1,0.9995189995189995,0.015599546577183224,0.030719649931996926,0.12114124096886184,0.8788587590311382,0.13321214925471792
-5.600000000000012,2078,128845,20361,1,0.9995189995189995,0.015871924719109705,0.031247650411272008,0.13646234065654197,0.863537659343458,0.14832270218461843
-5.500000000000012,2078,127008,22198,1,0.9995189995189995,0.016097795268270765,0.03168528189684748,0.14877417798211867,0.8512258220178813,0.1604653468618832
-5.400000000000013,2078,125185,24021,1,0.9995189995189995,0.0163283908127264,0.032131867452181044,0.1609921853008592,0.8390078146991408,0.17251545097002347
-5.300000000000013,2078,123176,26030,1,0.9995189995189995,0.016590288533699524,0.03263882889745785,0.17445679128185193,0.825543208718148,0.18579502263938924
-5.2000000000000135,2078,121437,27769,1,0.9995189995189995,0.01682386754645185,0.03309075274296543,0.18611181855957534,0.8138881814404246,0.1972898833327825
-5.100000000000014,2078,118936,30270,1,0.9995189995189995,0.017171566926140778,0.033763089696408406,0.2028738790665255,0.7971261209334746,0.21382159500280926
-5.000000000000014,2078,116697,32509,1,0.9995189995189995,0.017495264154914755,0.03438860112201499,0.21787997801696982,0.7821200219830302,0.22862147602207752
-4.900000000000015,2078,114621,34585,1,0.9995189995189995,0.01780649362890856,0.03498964454696998,0.23179362760210714,0.7682063723978929,0.24234392041511055
-4.800000000000015,2078,113147,36059,1,0.9995189995189995,0.018034280755044478,0.0354293118734229,0.24167258689328847,0.7583274131067115,0.25208712033579006
-4.700000000000015,2078,111271,37935,1,0.9995189995189995,0.018332759883192617,0.03600512873826108,0.2542458078093374,0.7457541921906625,0.26448755659847306
-4.600000000000016,2078,109136,40070,1,0.9995189995189995,0.018684697969680076,0.03668364329658496,0.26855488385185583,0.7314451161481441,0.27859999338995933
-4.500000000000016,2078,106883,42323,1,0.9995189995189995,0.019071043767953672,0.03742795389048991,0.28365481280913635,0.7163451871908637,0.2934924149783521
-4.400000000000016,2078,104626,44580,1,0.9995189995189995,0.01947443394811816,0.038204498864712326,0.29878155033979864,0.7012184496602014,0.30841127672935187
-4.300000000000017,2078,102806,46400,1,0.9995189995189995,0.01981236413561649,0.038854557183325075,0.3109794512285029,0.6890205487714971,0.3204415507155369
-4.200000000000017,2078,100846,48360,1,0.9995189995189995,0.02018965450235125,0.039579821528908696,0.3241156521855689,0.6758843478144311,0.3333972303929669
-4.100000000000017,2078,98685,50521,1,0.9995189995189995,0.02062264918670544,0.040411505027128994,0.3385989839550688,0.6614010160449312,0.3476815282413987
-4.000000000000018,2078,96225,52981,1,0.9995189995189995,0.021138724148805226,0.04140184495228228,0.3550862565848558,0.6449137434151442,0.3639422282447037
-3.900000000000018,2078,94040,55166,1,0.9995189995189995,0.02161925966000125,0.04232308522663625,0.3697304397946463,0.6302695602053536,0.37838516706877745
-3.8000000000000185,2078,91797,57409,1,0.9995189995189995,0.022135818908122502,0.043312420534839614,0.38476334731847245,0.6152366526815276,0.3932114882506527
-3.700000000000019,2078,89204,60002,1,0.9995189995189995,0.02276461953068513,0.04451537579931663,0.40214200501320324,0.5978579949867968,0.41035132366064053
-3.600000000000019,2077,87068,62138,2,0.9990379990379991,0.023299119412193616,0.04553626238709112,0.41645778319906707,0.583542216800933,0.4244637604521268
-3.5000000000000195,2077,85036,64170,2,0.9990379990379991,0.023842595249847897,0.046573683738451874,0.43007653847700494,0.5699234615229951,0.4378953630564828
-3.40000000000002,2077,82963,66243,2,0.9990379990379991,0.024423800564440264,0.047681906357970136,0.44397008163210594,0.5560299183678941,0.4515979773275606
-3.3000000000000203,2077,80645,68561,2,0.9990379990379991,0.025108193709049587,0.04898527140010142,0.45950564990684023,0.5404943500931598,0.46692005155831706
-3.2000000000000206,2077,78557,70649,2,0.9990379990379991,0.025758364957710146,0.05022185146228525,0.47349972521212286,0.5265002747878771,0.4807218164391711
-3.100000000000021,2077,76066,73140,2,0.9990379990379991,0.026579476088709163,0.05178130687342624,0.49019476428561853,0.5098052357143814,0.4971874277026804
-3.0000000000000213,2077,73706,75500,2,0.9990379990379991,0.027407202142960822,0.05335080013356965,0.5060118225808614,0.4939881774191386,0.5127871236408104
-2.9000000000000217,2077,71664,77542,2,0.9990379990379991,0.0281661490893804,0.05478765497230283,0.5196975992922537,0.4803024007077463,0.5262848266516839
-2.800000000000022,2077,69580,79626,2,0.9990379990379991,0.028985304994627183,0.056336118042747095,0.5336648660241545,0.4663351339758455,0.5400601513699309
-2.7000000000000224,2076,66983,82223,3,0.9985569985569985,0.030061251972950665,0.058365430571565124,0.5510703322922671,0.4489296677077329,0.5572198169018739
-2.6000000000000227,2075,64259,84947,4,0.9980759980759981,0.031281092652335155,0.0606609854852148,0.5693269707652507,0.43067302923474926,0.5752189575965893
-2.500000000000023,2075,62020,87186,4,0.9980759980759981,0.03237382011077307,0.06271345241333454,0.5843330697156951,0.4156669302843049,0.5900188386158575
-2.4000000000000234,2074,59462,89744,5,0.9975949975949976,0.03370384815392616,0.06520474730802484,0.6014771523933354,0.39852284760666457,0.6069207125623822
-2.300000000000024,2074,57398,91808,5,0.9975949975949976,0.034873553941350555,0.06739126902893536,0.6153103762583274,0.3846896237416726,0.6205638364675943
-2.200000000000024,2074,54988,94218,5,0.9975949975949976,0.036346430198731204,0.07013746808474661,0.6314625417208424,0.3685374582791576,0.6364940344383118
-2.1000000000000245,2073,51304,97902,6,0.9971139971139971,0.03883695224534912,0.07476197345643391,0.6561532378054502,0.3438467621945498,0.660838814158707
-2.000000000000025,2073,49266,99940,6,0.9971139971139971,0.040378659498626776,0.07761428731888127,0.6698122059434607,0.3301877940565393,0.6743100770069735
-1.9000000000000252,2071,47002,102204,8,0.9961519961519961,0.042202433109856746,0.08097435095401939,0.6849858584775411,0.3150141415224589,0.6892619889612321
-1.8000000000000256,2070,44827,104379,9,0.9956709956709957,0.04413928396272683,0.08453119895459,0.6995630202538772,0.3004369797461228,0.7036322173381366
-1.700000000000026,2069,42054,107152,10,0.9951899951899952,0.046891643813883915,0.08956322237132591,0.7181480637507875,0.28185193624921245,0.7219552500247877
-1.6000000000000263,2066,40078,109128,13,0.9937469937469937,0.04902239939255885,0.09343554259095947,0.7313914990013807,0.2686085009986193,0.7349968602306904
-1.5000000000000266,2064,38309,110897,15,0.9927849927849928,0.051123275456369355,0.09723923490059361,0.7432475905794673,0.2567524094205327,0.7466768020623327
-1.400000000000027,2063,36330,112876,16,0.9923039923039924,0.053733753548824,0.10194702510377546,0.7565111322600968,0.2434888677399032,0.7597514624714942
-1.3000000000000274,2063,34306,114900,16,0.9923039923039924,0.05672413319035442,0.10731377444860592,0.7700762703912711,0.22992372960872887,0.7731301847506362
-1.2000000000000277,2062,32390,116816,17,0.9918229918229918,0.059851387437594335,0.11289042183351125,0.7829175770411377,0.21708242295886226,0.7857884125987374
-1.100000000000028,2060,30681,118525,19,0.9908609908609909,0.06291805381631593,0.1183228029867892,0.794371540018498,0.20562845998150203,0.7970717519912748
-1.0000000000000284,2060,29084,120122,19,0.9908609908609909,0.06614436167480092,0.12401047467116154,0.8050748629411686,0.1949251370588314,0.8076279869121195
-0.9000000000000288,2060,27644,121562,19,0.9908609908609909,0.06935092916778884,0.12962904697479785,0.8147259493586049,0.18527405064139513,0.8171464454506395
-0.8000000000000291,2056,26099,123107,23,0.9889369889369889,0.07302432960397798,0.13600582126083216,0.8250807608273125,0.17491923917268748,0.8273325180949863
-0.7000000000000295,2052,24568,124638,27,0.987012987012987,0.07708489857250188,0.14300149831004566,0.8353417422891841,0.16465825771081588,0.8374260501702085
-0.6000000000000298,2052,23169,126037,27,0.987012987012987,0.08136077078624955,0.15032967032967032,0.8447180408294572,0.15528195917054277,0.8466734970420068
-0.5000000000000302,2046,22039,127167,33,0.9841269841269841,0.0849491384679261,0.15639810426540285,0.8522914628098066,0.1477085371901934,0.8541031827345739
-0.40000000000003055,2040,20804,128402,39,0.9812409812409812,0.08930134827525828,0.16370420896360793,0.8605686098414272,0.13943139015857275,0.8622269226955745
-0.3000000000000309,2033,19460,129746,46,0.9778739778739779,0.09458893593262922,0.17249278805362292,0.8695762904977011,0.13042370950229887,0.8710645470469643
-0.20000000000003126,2026,18352,130854,53,0.9745069745069745,0.09942094415546177,0.18043371777174155,0.8770022653244508,0.1229977346755492,0.8783422018045411
-0.10000000000003162,2012,16853,132353,67,0.9677729677729677,0.10665253114232706,0.19213139801375095,0.8870487781992681,0.11295122180073192,0.8881581121723898
-3.197442310920451e-14,2008,15745,133461,71,0.9658489658489658,0.1131076437785163,0.2025010084711577,0.8944747530260178,0.10552524697398225,0.8954555970519219
0.09999999999996767,1999,14999,134207,80,0.9615199615199616,0.11760207083186257,0.20957173559784034,0.8994745519617173,0.10052544803828267,0.9003271970122616
0.19999999999996732,1993,14080,135126,86,0.9586339586339586,0.12399676476077895,0.21959012780960774,0.9056338216961785,0.09436617830382155,0.9063621641273094
0.29999999999996696,1984,13260,135946,95,0.9543049543049543,0.13014956704277092,0.22905963170351554,0.9111295792394408,0.08887042076055918,0.9117229070958787
0.3999999999999666,1979,12539,136667,100,0.9518999518999519,0.1363135418101667,0.23847683316261975,0.9159618245915043,0.08403817540849567,0.9164556962025316
0.49999999999996625,1970,11889,137317,109,0.9475709475709476,0.14214589797243668,0.24720793073158487,0.9203182177660416,0.07968178223395839,0.9206927322603033
0.5999999999999659,1952,11192,138014,127,0.9389129389129389,0.14850882531953744,0.25645404979307623,0.9249896116778146,0.07501038832218543,0.9251809498628416
0.6999999999999655,1942,10450,138756,137,0.9341029341029341,0.1567140090380891,0.2683988666989151,0.9299626020401325,0.07003739795986752,0.9300194996199227
0.7999999999999652,1923,9825,139381,156,0.924963924963925,0.16368743615934628,0.27815144282924714,0.9341514416310336,0.06584855836896641,0.9340251842548831
0.8999999999999648,1899,8936,140270,180,0.9134199134199135,0.17526534379326258,0.294099426978473,0.9401096470651314,0.05989035293486855,0.9397428694186469
0.9999999999999645,1880,8323,140883,199,0.9042809042809042,0.1842595315103401,0.3061390652988113,0.9442180609358873,0.05578193906411266,0.9436692335657865
1.0999999999999641,1863,7665,141541,216,0.8961038961038961,0.19552896725440805,0.32101318170069787,0.9486280712571881,0.051371928742811934,0.9479062696235582
1.1999999999999638,1835,7112,142094,244,0.8826358826358827,0.205096680451548,0.3328496281516416,0.9523343565272174,0.04766564347278257,0.951376540965727
1.2999999999999634,1801,6418,142788,278,0.8662818662818663,0.21912641440564545,0.3497766556612934,0.956985644008954,0.04301435599104597,0.955739167795882
1.399999999999963,1769,5799,143407,310,0.8508898508898509,0.23374735729386892,0.3667461386959676,0.9611342707397826,0.03886572926021736,0.9596192616584592
1.4999999999999627,1738,5400,143806,341,0.8359788359788359,0.24348557018772765,0.37712921774981006,0.9638084259346139,0.03619157406538609,0.9620517566183032
1.5999999999999623,1717,4947,144259,362,0.8258778258778259,0.2576530612244898,0.39277135994509893,0.9668444968700991,0.0331555031299009,0.9649072941798592
1.699999999999962,1677,4451,144755,402,0.8066378066378066,0.27366187989556134,0.4086755208967953,0.9701687599694382,0.029831240030561812,0.9679214727170572
1.7999999999999616,1652,3936,145270,427,0.7946127946127947,0.2956335003579098,0.43093778531368204,0.9736203637923407,0.026379636207659263,0.9711603926364147
1.8999999999999613,1599,3557,145649,480,0.7691197691197691,0.31012412723041116,0.4420179682100898,0.9761604761202632,0.023839523879736757,0.9733152658888852
1.999999999999961,1568,3295,145911,511,0.7542087542087542,0.3224347110836932,0.45174301354076635,0.9779164376767691,0.022083562323230943,0.9748421852794394
2.0999999999999606,1485,3044,146162,594,0.7142857142857143,0.32788695076175756,0.449455205811138,0.979598675656475,0.02040132434352504,0.9759526721089334
2.19999999999996,1407,2673,146533,672,0.6767676767676768,0.3448529411764706,0.4568923526546517,0.9820851708376339,0.017914829162366086,0.9778894140198963
2.29999999999996,1345,2225,146981,734,0.6469456469456469,0.37675070028011204,0.4761904761904762,0.9850877310563918,0.014912268943608198,0.9804408897114717
